isbn,title,author,publisher,genre,book_explanation,cover_image
9788936434120,소년이 온다,한강 지음,창비,소설/시/희곡,"말라파르테 문학상, 만해문학상 수상작 
우리 시대의 소설 『소년이 온다』

2014년 만해문학상, 2017년 이탈리아 말라파르테 문학상을 수상하고 전세계 20여개국에 번역 출간되며 세계를 사로잡은 우리 시대의 소설 『소년이 온다』.
이 작품은 『채식주의자』로 인터내셔널 부커상을 수상한 한강 작가에게 “눈을 뗄 수 없는, 보편적이며 깊은 울림”(뉴욕타임즈), “역사와 인간의 본질을 다룬 충격적이고 도발적인 소설”(가디언), “한강을 뛰어넘은 한강의 소설”(문학평론가 신형철)이라는 찬사를 선사한 작품으로, 그간 많은 독자들에게 광주의 상처를 깨우치고 함께 아파하는 문학적인 헌사로 높은 관심과 찬사를 받아왔다. 
『소년이 온다』는 ‘상처의 구조에 대한 투시와 천착의 서사’를 통해 한강만이 풀어낼 수 있는 방식으로 1980년 5월을 새롭게 조명하며, 무고한 영혼들의 말을 대신 전하는 듯한 진심 어린 문장들로 5·18 이후를 살고 있는 우리에게 묵직한 질문을 던진다. 
이 작품은 가장 한국적인 서사로 세계를 사로잡은 한강 문학의 지향점을 보여준다. 인간의 잔혹함과 위대함을 동시에 증언하는 이 충일한 서사는 이렇듯 시공간의 한계를 넘어 인간 역사의 보편성을 보여주며 훼손되지 말아야 할 인간성을 절박하게 복원한다.",https://shopping-phinf.pstatic.net/main_3249140/32491401626.20231004072435.jpg
9788954682152,작별하지 않는다,한강 지음,문학동네,소설/시/희곡,"무엇을 생각하면 견딜 수 있나.
가슴에 활활 일어나는 불이 없다면.
기어이 돌아가 껴안을 네가 없다면.

이곳에 살았던 이들로부터, 이곳에 살아 있는 이들로부터
꿈처럼 스며오는 지극한 사랑의 기억

2016년 『채식주의자』로 인터내셔널 부커상을 수상하고 2018년 『흰』으로 같은 상 최종 후보에 오른 한강 작가의 5년 만의 신작 장편소설 『작별하지 않는다』가 출간되었다. 2019년 겨울부터 이듬해 봄까지 계간 『문학동네』에 전반부를 연재하면서부터 큰 관심을 모았고, 그뒤 일 년여에 걸쳐 후반부를 집필하고 또 전체를 공들여 다듬는 지난한 과정을 거쳐 완성되었다. 본래 「눈 한 송이가 녹는 동안」(2015년 황순원문학상 수상작), 「작별」(2018년 김유정문학상 수상작)을 잇는 ‘눈’ 3부작의 마지막 작품으로 구상되었으나 그 자체 완결된 작품의 형태로 엮이게 된바, 한강 작가의 문학적 궤적에서 『작별하지 않는다』가 지니는 각별한 의미를 짚어볼 수 있다. 이로써 『소년이 온다』(2014), 『흰』(2016), ‘눈’ 연작(2015, 2017) 등 근작들을 통해 어둠 속에서도 한줄기 빛을 향해 나아가는 인간의 고투와 존엄을 그려온 한강 문학이 다다른 눈부신 현재를 또렷한 모습으로 확인할 수 있게 되었다. 오래지 않은 비극적 역사의 기억으로부터 길어올린, 그럼에도 인간을 끝내 인간이게 하는 간절하고 지극한 사랑의 이야기가 눈이 시리도록 선연한 이미지와 유려하고 시적인 문장에 실려 압도적인 아름다움으로 다가온다.",https://shopping-phinf.pstatic.net/main_3243636/32436366634.20231124160335.jpg
9788936434595,채식주의자 (리마스터판),한강 지음,창비,소설/시/희곡,"인터내셔널 부커상, 산클레멘테 문학상 수상작
전세계가 주목한 한강의 역작을 다시 만나다

2016년 인터내셔널 부커상을 수상하며 한국문학의 입지를 한단계 확장시킨 한강의 장편소설 『채식주의자』를 15년 만에 새로운 장정으로 선보인다. 상처받은 영혼의 고통과 식물적 상상력의 강렬한 결합을 정교한 구성과 흡인력 있는 문체로 보여주는 이 작품은 섬뜩한 아름다움의 미학을 한강만의 방식으로 완성한 역작이다. “탄탄하고 정교하며 충격적인 작품으로, 독자들의 마음에 그리고 아마도 그들의 꿈에 오래도록 머물 것이다”라는 평을 받으며 인터내셔널 부커상을 수상했던 『채식주의자』는 “미국 문학계에 파문을 일으키면서도 독자들과 공명할 것으로 보인다”(뉴욕타임스), “놀라울 정도로 아름다운 산문과 믿을 수 없을 만큼 폭력적인 내용의 조합이 충격적이다”(가디언)라는 해외서평을 받았고 2018년에는 스페인에서 산클레멘테 문학상을 받는 등 전세계에서 뜨거운 반응을 일으켰다. 국내에서는 현재까지 100만부 가까이 판매되었다.

『채식주의자』는 어느 날부터 육식을 거부하며 가족들과 갈등을 빚기 시작하는 ‘영혜’가 중심인물로 등장하는 장편소설이다. 하지만 소설은 영혜를 둘러싼 세 인물인 남편, 형부, 언니의 시선에서 서술되며 영혜는 단 한번도 주도적인 화자의 위치를 얻지 못한다. 가족의 이름으로 자행되는 가부장의 폭력, 그리고 그 폭력에 저항하며 금식을 통해 동물성을 벗어던지고 나무가 되고자 한 영혜가 보여주는 식물적 상상력의 경지는 모든 세대 독자를 아우르며 더 크나큰 공명을 이루어낼 것이다.",https://shopping-phinf.pstatic.net/main_3248204/32482041666.20230725121007.jpg
9788998441012,모순,양귀자 지음,쓰다,소설/시/희곡,"※본 도서의 표지 색상은 2쇄를 주기로 변경됩니다. 등록된 이미지와 다른 색의 표지가 발송될 수 있습니다.※

인생은 살아가면서 탐구하는 것!

양귀자 소설의 힘을 보여준 베스트셀러 『모순』. 1998년에 초판이 출간된 이후 132쇄를 찍으며 여전히 많은 사랑을 받고 있는 작품을, 오래도록 소장할 수 있는 양장본으로 새롭게 선보인다. 스물다섯 살 미혼여성 안진진을 통해 모순으로 가득한 우리의 인생을 들여다본다. 작가 특유의 섬세한 문장들로 여러 인물들의 삶을 생생하게 그려내고 있다.

시장에서 내복을 팔고 있는 억척스런 어머니와 행방불명 상태로 떠돌다 가끔씩 귀가하는 아버지, 조폭의 보스가 인생의 꿈인 남동생을 가족으로 둔 안진진. 어머니와 일란성 쌍둥이인 이모는 부유하지만 지루한 삶에 지쳐 있고, 가난한 어머니는 처리해야 할 불행들이 많아 지루할 틈이 없다. 안진진은 사뭇 다른 어머니와 이모의 삶을 바라보며 모순투성이인 삶을 어떻게 이해해야 하는지 고민하기 시작하는데….",https://shopping-phinf.pstatic.net/main_3248640/32486402650.20241002094141.jpg
9788954651134,흰,"한강 지음, 최진혁 사진",문학동네,소설/시/희곡,"결코 더럽혀지지 않는, 절대로 더럽혀질 수가 없는 어떤 흰 것에 관한 이야기!

한국인 최초 맨부커상 수상 작가 한강의 소설 『흰』. 2018년 맨부커 인터네셔널 부문 최종후보작으로 선정된 이 작품은, 2013년 겨울에 기획해 2014년에 완성된 초고를 바탕으로 글의 매무새를 닳도록 만지고 또 어루만져서 2016년 5월에 처음 펴냈던 책이다. 삶과 죽음이라는 경계를 무력하게 만드는 이 소설은 한 권의 시집으로 읽힘에 손색이 없는 65편의 이야기로 구성되어 있다. 

강보, 배내옷, 각설탕, 입김, 달, 쌀, 파도, 백지, 백발, 수의…. 작가로부터 불려나온 흰 것의 목록은 총 65개의 이야기로 파생되어 ‘나’와 ‘그녀’와 ‘모든 흰’이라는 세 개의 장 아래 담겨 있다. 한 권의 소설이지만 각 소제목, 흰 것의 목록들 아래 각각의 이야기들이 그 자체로 밀도 있는 완성도를 자랑한다. 

‘나’에게는 죽은 어머니가 스물세 살에 낳았다 태어난 지 두 시간 만에 죽었다는 ‘언니’의 사연이 있다. 나는 지구의 반대편의 오래된 한 도시로 옮겨온 뒤에도 자꾸만 떠오르는 오래된 기억들에 사로잡힌다. 나에게서 비롯된 이야기는 ‘그녀’에게로 시선을 옮겨간다. 나는 그녀가 나대신 이곳으로 왔다고 생각하고, 그런 그녀를 통해 세상의 흰 것들을 다시금 만나기에 이른다.",https://shopping-phinf.pstatic.net/main_3247462/32474620790.20250402071844.jpg
9788932024639,서랍에 저녁을 넣어 두었다,한강 지음,문학과지성사,소설/시/희곡,"2024 노벨문학상 수상 작가 한강

심해의 밤, 침묵에서 길어 올린 핏빛 언어들
상처 입은 영혼에 닿는 투명한 빛의 궤적들

한강 문학의 시적 기원!
“한강의 소설에 등장하는 수많은 그림의 실재가 궁금했던 사람들은 
이제 시집 『서랍에 저녁을 넣어 두었다』를 펼치면 된다”

1993년 계간 『문학과사회』 겨울호에 시 「서울의 겨울」 외 4편을 발표하고 이듬해 『서울신문』 신춘문예에 단편소설 「붉은 닻」이 당선되어 작품 활동을 시작한 한강이 틈틈이 쓰고 발표한 시들 중 60편을 추려 묶어 데뷔 20년 만에 펴낸 첫 시집이다. 인간 삶의 고독과 비애, 삶과 죽음의 경계에서 맞닥뜨리는 어떤 진실과 본질적인 정서들을 특유의 단단하고 시정 어린 문체로 새겨온 시인은 한국소설문학상(1999), 오늘의 젊은 예술가상(2000), 이상문학상(2005), 동리문학상(2010), 만해문학상(2014), 황순원문학상(2015), 인터내셔널 부커상(2016), 말라파르테 문학상(2017), 김유정문학상(2018), 산클레멘테 문학상(2019), 대산문학상(2022), 메디치 외국문학상(2023), 에밀 기메 아시아문학상(2024), 노벨문학상(2024) 등을 수상한 바 있다.",https://shopping-phinf.pstatic.net/main_3246312/32463129802.20230906071157.jpg
9788937473401,급류,정대건 지음,민음사,소설/시/희곡,"“너 소용돌이에 빠지면 어떻게 해야 하는 줄 알아?
수면에서 나오려 하지 말고 숨 참고 밑바닥까지 잠수해서 빠져나와야 돼.”

상처에 흠뻑 젖은 이들이 각자의 몸을 말리기까지,
서로의 흉터를 감싸며 다시 무지개를 보기까지
거센 물살 같은 시간 속에서 헤엄치는 법을 알아내는
연약한 이들의 용감한 성장담, 단 하나의 사랑론

2020년 《한경신춘문예》에 장편소설 『GV 빌런 고태경』이 당선되어 작품 활동을 시작한 소설가 정대건의 두 번째 장편소설 『급류』가 오늘의 젊은 작가 시리즈 40번으로 출간되었다. 『급류』는 저수지와 계곡이 유명한 지방도시 ‘진평’을 배경으로, 열일곱 살 동갑내기인 ‘도담’과 ‘해솔’의 만남과 사랑을 그린 소설이다. 아빠와 함께 수영을 하러 갔던 도담이 한눈에 인상적인 남자아이 ‘해솔’이 물에 빠질 뻔한 것을 구하러 뛰어들며 둘의 인연은 시작된다. 운명적이고 낭만적으로 보이는 첫 만남 이후 둘은 모든 걸 이야기하고 비밀 없는 사이가 되지만, 그 첫사랑이 잔잔한 물처럼 평탄하지만은 않다. 모르는 사이에 디뎌 빠져나올 수 없이 빨려드는 와류처럼 둘의 관계는 우연한 사건으로 다른 국면을 맞이한다. 도담과 해솔의 관계가 연인으로 발전하던 어느 날, 해솔의 엄마와 도담의 아빠가 불륜 관계인 듯한 정황이 드러나고 이에 화가 난 도담은 그 둘이 은밀히 만나기로 한 날 밤 랜턴을 들고 그들의 뒤를 밟는다. 그리고 그곳에서 생각지도 못한 사고가 벌어진다. 그날 이후, 진평에서 오직 서로가 전부이던, 나누지 못할 비밀이 없던 도담과 해솔의 관계와 삶은 순식간에 바뀌어 버린다. 해솔의 엄마와 도담의 아빠는 어떤 관계였던 걸까? 그 날, 그 밤 도담과 해솔은 어떤 일을 겪게 된 걸까?",https://shopping-phinf.pstatic.net/main_3680157/36801578630.20230117165610.jpg
9788925554990,스토너,"존 윌리엄스 지음, 김승욱 옮김",알에이치코리아(RHK),소설/시/희곡,"세상이 잊고 있던 20세기의 걸작, 늦고도 새로운 감동을 전하다!

1965년 미국에서 발표된 후 오랜 시간 독자들에게 잊혀졌던 작품이 유럽 출판계와 평론가, 독자들의 열렬한 반응을 이끌어내며 베스트셀러가 되었다. 50년의 시차를 뛰어넘어 미국과 유럽 그리고 전 세계의 마음을 사로잡은 작품, 『스토너』의 이야기다. 농부의 아들로 태어나 문학을 사랑했으며 묵묵히 자신의 길을 가고자 했던 윌리엄 스토너. 세상의 기준에서 실패자와 다른 없는 삶을 산 한 남자의 이야기가 발표된 지 50년이 지난 지금 다시 주목 받은 이유는 무엇일까. 

농업을 배우기 위해 대학에 진학해 영문학개론 수업에서 접한 셰익스피어의 일흔세 번째 소네트를 접한 후 문학을 사랑하게 된 스토너는 고향에 돌아가는 대신 대학에 남아 영문학도의 길을 택한다. 사랑하는 여인과 결혼해 가정을 이루고 교수가 되지만 어느 순간 가족과 동료들로부터 고립되어 슬프고 쓸쓸한 삶을 살아간다. 세계대전과 대공황 속에서도 개인적인 불행과 사랑의 실패에 시달리면서도, 갑작스러운 병마와 싸우면서도 그는 일생을 바친 자신의 연구처럼 마지막까지 자기 자신으로 살고자 한다. 자신의 일생을 통해 무언가를 증명하려는 듯 말이다.

언뜻 초라한 실패담에 불과해 보이는 소박한 이야기이지만 작가 존 윌리엄스는 스토너의 삶을 조금 다르게 그려냈다. 특유의 집요하리만치 세밀한 서술로 이 특별할 것 없는 남자의 인생을 진실하고 강렬하게 묘사하며 독자들로 하여금 주인공 스토너에 깊이 공감하게 만들었다. 비록 저자가 그려낸 스토너의 삶은 쓸쓸했지만 우리는 누구나 철저히 혼자라는 인생의 진리를, 사는 모습은 달라도 우리는 누구나 스토너임을, 우리의 일생에 인생의 모든 빛나는 순간이 담겨 있을 수 있음을 깨닫게 해줬다. 바로 이것이 스토너의 삶에 귀 기울이는 이유이자 뜨거운 감동의 근원일 것이다.",https://shopping-phinf.pstatic.net/main_3247332/32473327244.20230711115458.jpg
9788954616515,희랍어 시간,한강 지음,문학동네,소설/시/희곡,"그 여자의 침묵과 그 남자의 빛!

한국인 최초 맨부커상 수상 작가 한강의 장편소설 『희랍어 시간』. 말을 잃어가는 한 여자의 침묵과 눈을 잃어가는 한 남자의 빛이 만나는 순간을 그리고 있다. 열일곱 살 겨울, 여자는 어떤 원인이나 전조 없이 말을 잃는다. 말을 잃고 살던 그녀의 입을 다시 움직이게 한 건 낯선 외국어였던 한 개의 불어 단어였다. 시간이 흘러, 이혼을 하고 아이의 양육권을 빼앗기고 다시 말을 잃어버린 여자는 죽은 언어가 된 희랍어를 선택한다. 그곳에서 만난 희랍어 강사와 여자는 침묵을 사이에 놓고 더듬더듬 대화한다. 한편, 가족을 모두 독일에 두고 혼자 한국으로 돌아와 희랍어를 가르치는 남자는 점점 빛을 잃어가고 있다. 그는 아카데미의 수강생 중 말을 하지도, 웃지도 않는 여자를 주의 깊게 지켜보지만 그녀의 단단한 침묵에 두려움을 느끼는데….",https://shopping-phinf.pstatic.net/main_3247609/32476098329.20230829085010.jpg
9791187011590,데미안 (오리지널 초판본 표지디자인),"헤르만 헤세 지음, 이미영 옮김, 김선형",코너스톤,소설/시/희곡,"내면에 우러나오는 진정한 운명을 위해, 자기 자신을 찾아 헤맸던 한 어린 영혼의 치열한 여정. 『데미안(최신 원전 완역본)』은 에밀 싱클레어의 이름으로 출간되었던 《데미안》의 오리지널 초판본 표지로 만나볼 수 있는 책이다. 헤르만 헤세의 ‘영혼의 전기’로 소개되는 《데미안》은 깊이 있는 정신분석과 자기 탐구로 가시밭 같은 자아 성찰의 길을 섬세하게 그려낸 그의 대표작이다. 이 책을 1919년 오리지널 초판본의 우아한 표지로 다시 만나보자. 

평화와 질서가 있는 밝은 세계에 살던 싱클레어는 불량소년 프란츠 크로머에게 거짓말을 했다가 지속해서 돈을 빼앗기고 괴롭힘 당한다. 자신이 금지된 어두운 세계에 발을 들인 것에 괴로워하는 싱클레어를 신비로운 전학생 막스 데미안이 구해주고, 카인과 아벨, 선과 악, 빛과 어둠 등 지금까지 의심 없이 받아들였던 이원적인 종교관을 새롭게 해석하도록 이끌어준다. 이후 라틴어 학교를 졸업하고 데미안과 헤어져, 다시 어두운 세계를 방황하는 싱클레어에게 어느 날 ‘아브락사스’라는 신의 이름이 담긴 데미안의 기묘한 쪽지가 도착하는데….",https://shopping-phinf.pstatic.net/main_3248649/32486493489.20240903085158.jpg
